Scientific Name,Common Name,Status(TBD),Locality,rank,valid_AphiaID,valid_authority,kingdom,phylum,class,order,family,genus,citation,Date Taxonomy Updated,source
Anoplopoma fimbria,Sablefish/Black Cod,Present,Kachemak_Bay,Species,159463,"(Pallas, 1814)",Animalia,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Anoplopoma fimbria (Pallas, 1814). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159463 on 2024-02-21",2024-02-21,WORMS
Aplidium solidum,Sea pork,Present,Kachemak_Bay,Species,215889,"(Ritter & Forsyth, 1917)",Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Aplidium solidum (Ritter & Forsyth, 1917). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=215889 on 2024-02-21",2024-02-21,WORMS
Ascidiacea,sea squirts,Present,Kachemak_Bay,Class,1839,"Blainville, 1824",Animalia,Chordata,Ascidiacea,NA,NA,NA,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Ascidiacea. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1839 on 2024-02-21",2024-02-21,WORMS
Atheresthes stomias,Arrowtooth flounder,Present,Kachemak_Bay,Species,279792,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Atheresthes stomias (Jordan & Gilbert, 1880). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279792 on 2024-02-21",2024-02-21,WORMS
Aulorhynchus flavidus,Tube-snout,Present,Kachemak_Bay,Species,279839,"Gill, 1861",Animalia,Chordata,Teleostei,Perciformes,Aulorhynchidae,Aulorhynchus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Aulorhynchus flavidus Gill, 1861. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279839 on 2024-02-21",2024-02-21,WORMS
Bathyagonus infraspinatus,Spinycheek starsnout/Spinycheek starsnout poacher,Present,Kachemak_Bay,Species,254504,"(Gilbert, 1904)",Animalia,Chordata,Teleostei,Perciformes,Agonidae,Bathyagonus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Bathyagonus infraspinatus (Gilbert, 1904). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254504 on 2024-02-21",2024-02-21,WORMS
Bathymaster caeruleofasciatus,Alaskan ronquil,Present,Kachemak_Bay,Species,279415,"Gilbert & Burke, 1912",Animalia,Chordata,Teleostei,Perciformes,Bathymasteridae,Bathymaster,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Bathymaster caeruleofasciatus Gilbert & Burke, 1912. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279415 on 2024-02-21",2024-02-21,WORMS
Bathymaster signatus,Searcher,Present,Kachemak_Bay,Species,254513,"Cope, 1873",Animalia,Chordata,Teleostei,Perciformes,Bathymasteridae,Bathymaster,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Bathymaster signatus Cope, 1873. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254513 on 2024-02-21",2024-02-21,WORMS
Blepsias cirrhosus,Silverspotted sculpin,Present,Kachemak_Bay,Species,279417,"(Pallas, 1814)",Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Blepsias,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Blepsias cirrhosus (Pallas, 1814). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279417 on 2024-02-21",2024-02-21,WORMS
Boltenia villosa,Spiny-headed tunicate,Present,Kachemak_Bay,Species,250073,"(Stimpson, 1864)",Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Boltenia villosa (Stimpson, 1864). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250073 on 2024-02-21",2024-02-21,WORMS
Botrylloides violaceus,Tunicate,Potential+Invasive,Kachemak_Bay,Species,148715,"Oka, 1927",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Botrylloides violaceus Oka, 1927. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=148715 on 2024-02-21",2024-02-21,WORMS
Botryllus schlosseri,Tunicate,Potential+Invasive,Kachemak_Bay,Species,103862,"(Pallas, 1766)",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Botryllus schlosseri (Pallas, 1766). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103862 on 2024-02-21",2024-02-21,WORMS
Chirolophis decoratus,Decorated warbonnet,Present,Kachemak_Bay,Species,254576,"(Jordan & Snyder, 1902)",Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Chirolophis,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Chirolophis decoratus (Jordan & Snyder, 1902). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254576 on 2024-02-21",2024-02-21,WORMS
Chirolophis tarsodes,Matcheek warbonnet,Present,Kachemak_Bay,Species,273991,"(Jordan & Snyder, 1902)",Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Chirolophis,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Chirolophis tarsodes (Jordan & Snyder, 1902). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273991 on 2024-02-21",2024-02-21,WORMS
Citharichthys sordidus,Pacific sanddab,Present,Kachemak_Bay,Species,275694,"(Girard, 1854)",Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Citharichthys sordidus (Girard, 1854). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275694 on 2024-02-21",2024-02-21,WORMS
Clinocottus acuticeps,Sharpnose sculpin,Present,Kachemak_Bay,Species,280218,"(Gilbert, 1896)",Animalia,Chordata,Teleostei,Perciformes,Cottidae,Clinocottus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Clinocottus acuticeps (Gilbert, 1896). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=280218 on 2024-02-21",2024-02-21,WORMS
Clupea pallasii,Pacific herring,Present,Kachemak_Bay,Species,151159,"Valenciennes, 1847",Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Clupea pallasii Valenciennes, 1847. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=151159 on 2024-02-21",2024-02-21,WORMS
Cnemidocarpa finmarkiensis,NA,Present,Kachemak_Bay,Species,103870,"(Kiaer, 1893)",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Cnemidocarpa,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Cnemidocarpa finmarkiensis (Kiaer, 1893). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103870 on 2024-02-21",2024-02-21,WORMS
Coregonus laurettae,Bering cisco,Present,Kachemak_Bay,Species,254567,"Bean, 1881",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Coregonus laurettae Bean, 1881. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254567 on 2024-02-21",2024-02-21,WORMS
Cottus cognatus,Slimy sculpin,Present,Kachemak_Bay,Species,159512,"Richardson, 1836",Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Cottus cognatus Richardson, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159512 on 2024-02-21",2024-02-21,WORMS
Cryptacanthodes aleutensis,Dwarf wrymouth,Present,Kachemak_Bay,Species,276390,"(Gilbert, 1896)",Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Cryptacanthodes aleutensis (Gilbert, 1896). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276390 on 2024-02-21",2024-02-21,WORMS
Cryptacanthodes giganteus,Giant wrymouth,Present,Kachemak_Bay,Species,276392,"(Kittlitz, 1858)",Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Cryptacanthodes giganteus (Kittlitz, 1858). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276392 on 2024-02-21",2024-02-21,WORMS
Dasycottus setiger,Spinyhead sculpin,Present,Kachemak_Bay,Species,280488,"Bean, 1890",Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Dasycottus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Dasycottus setiger Bean, 1890. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=280488 on 2024-02-21",2024-02-21,WORMS
Didemnum vexillum,Didemnum tunicate,Potential+Invasive,Kachemak_Bay,Species,250126,"Kott, 2002",Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Didemnum vexillum Kott, 2002. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250126 on 2024-02-21",2024-02-21,WORMS
Distaplia alaskensis,Colonial harbor tunicate,Present,Kachemak_Bay,Species,250424,"Lambert & Sanamyan, 2001",Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Distaplia alaskensis Lambert & Sanamyan, 2001. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250424 on 2024-02-21",2024-02-21,WORMS
Distaplia occidentalis,Western distaplia,Present,Kachemak_Bay,Species,250152,"Bancroft, 1899",Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Distaplia occidentalis Bancroft, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250152 on 2024-02-21",2024-02-21,WORMS
Eleginus gracilis,Saffron cod,Present,Kachemak_Bay,Species,254537,"(Tilesius, 1810)",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Eleginus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Eleginus gracilis (Tilesius, 1810). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254537 on 2024-02-21",2024-02-21,WORMS
Enophrys taurina,Bull sculpin,Present,Kachemak_Bay,Species,275356,"Gilbert, 1914",Animalia,Chordata,Teleostei,Perciformes,Cottidae,Enophrys,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Enophrys taurina Gilbert, 1914. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275356 on 2024-02-21",2024-02-21,WORMS
Eumicrotremus orbis,Pacific spiny lumpsucker,Present,Kachemak_Bay,Species,254535,"(Günther, 1861)",Animalia,Chordata,Teleostei,Perciformes,Cyclopteridae,Eumicrotremus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Eumicrotremus orbis (Günther, 1861). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254535 on 2024-02-21",2024-02-21,WORMS
Gadus macrocephalus,Pacific cod/Gray cod/True cod,Present,Kachemak_Bay,Species,254538,"Tilesius, 1810",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Gadus macrocephalus Tilesius, 1810. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254538 on 2024-02-21",2024-02-21,WORMS
Halocynthia aurantium,Sea peach,Present,Kachemak_Bay,Species,250674,"(Pallas, 1787)",Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Halocynthia,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Halocynthia aurantium (Pallas, 1787). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250674 on 2024-02-21",2024-02-21,WORMS
Hemilepidotus hemilepidotus,Red Irish lord,Present,Kachemak_Bay,Species,254521,"(Tilesius, 1811)",Animalia,Chordata,Teleostei,Perciformes,Cottidae,Hemilepidotus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Hemilepidotus hemilepidotus (Tilesius, 1811). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254521 on 2024-02-21",2024-02-21,WORMS
Hemilepidotus jordani,Yellow Irish lord,Present,Kachemak_Bay,Species,254522,"Bean, 1881",Animalia,Chordata,Teleostei,Perciformes,Cottidae,Hemilepidotus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Hemilepidotus jordani Bean, 1881. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254522 on 2024-02-21",2024-02-21,WORMS
Hemilepidotus spinosus,Brown Irish lord,Present,Kachemak_Bay,Species,279413,"Ayres, 1854",Animalia,Chordata,Teleostei,Perciformes,Cottidae,Hemilepidotus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Hemilepidotus spinosus Ayres, 1854. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279413 on 2024-02-21",2024-02-21,WORMS
Hemitripterus bolini,Bigmouth sculpin,Present,Kachemak_Bay,Species,254541,"(Myers, 1934)",Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Hemitripterus bolini (Myers, 1934). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254541 on 2024-02-21",2024-02-21,WORMS
Hexagrammos decagrammus,Kelp greenling,Present,Kachemak_Bay,Species,240732,"(Pallas, 1810)",Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Hexagrammos decagrammus (Pallas, 1810). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240732 on 2024-02-21",2024-02-21,WORMS
Hexagrammos stelleri,Whitespotted greenling,Present,Kachemak_Bay,Species,254545,"Tilesius, 1810",Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Hexagrammos stelleri Tilesius, 1810. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254545 on 2024-02-21",2024-02-21,WORMS
Hippoglossoides elassodon,Flathead sole/Paper sole,Present,Kachemak_Bay,Species,274289,"Jordan & Gilbert, 1880",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Hippoglossoides elassodon Jordan & Gilbert, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274289 on 2024-02-21",2024-02-21,WORMS
Hippoglossus stenolepis,Pacific halibut/Right halibut,Present,Kachemak_Bay,Species,274290,"Schmidt, 1904",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Hippoglossus stenolepis Schmidt, 1904. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274290 on 2024-02-21",2024-02-21,WORMS
Icelinus borealis,Northern sculpin,Present,Kachemak_Bay,Species,281133,"Gilbert, 1896",Animalia,Chordata,Teleostei,Perciformes,Cottidae,Icelinus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Icelinus borealis Gilbert, 1896. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281133 on 2024-02-21",2024-02-21,WORMS
Lamna ditropis,Salmon shark/Mackerel shark,Present,Kachemak_Bay,Species,271421,"Hubbs & Follett, 1947",Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Lamna ditropis Hubbs & Follett, 1947. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271421 on 2024-02-21",2024-02-21,WORMS
Leptocottus armatus,Pacific staghorn sculpin,Present,Kachemak_Bay,Species,254345,"Girard, 1854",Animalia,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Leptocottus armatus Girard, 1854. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254345 on 2024-02-21",2024-02-21,WORMS
Lumpenella longirostris,Longsnout prickleback,Present,Kachemak_Bay,Species,254351,"(Evermann & Goldsborough, 1907)",Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenella,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Lumpenella longirostris (Evermann & Goldsborough, 1907). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254351 on 2024-02-21",2024-02-21,WORMS
Lumpenus sagitta,Snake prickleback,Present,Kachemak_Bay,Species,254579,"Wilimovsky, 1956",Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Lumpenus sagitta Wilimovsky, 1956. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254579 on 2024-02-21",2024-02-21,WORMS
Lycodes brevipes,Shortfin eelpout,Present,Kachemak_Bay,Species,254595,"Bean, 1890",Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Lycodes brevipes Bean, 1890. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254595 on 2024-02-21",2024-02-21,WORMS
Lycodes palearis,Wattled eelpout,Present,Kachemak_Bay,Species,254585,"Gilbert, 1896",Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Lycodes palearis Gilbert, 1896. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254585 on 2024-02-21",2024-02-21,WORMS
Mallotus villosus,Capelin/Grunion/Candlefish,Present,Kachemak_Bay,Species,126735,"(Müller, 1776)",Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Mallotus villosus (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126735 on 2024-02-21",2024-02-21,WORMS
Metandrocarpa taylori,Red sea buttons,Present,Kachemak_Bay,Species,250836,"Huntsman, 1912",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Metandrocarpa,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Metandrocarpa taylori Huntsman, 1912. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250836 on 2024-02-21",2024-02-21,WORMS
Microgadus proximus,Pacific tomcod/Tomcod,Present,Kachemak_Bay,Species,275873,"(Girard, 1854)",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Microgadus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Microgadus proximus (Girard, 1854). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275873 on 2024-02-21",2024-02-21,WORMS
Microstomus pacificus,Dover sole/Slime sole,Present,Kachemak_Bay,Species,274294,"(Lockington, 1879)",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Microstomus pacificus (Lockington, 1879). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274294 on 2024-02-21",2024-02-21,WORMS
Nautichthys oculofasciatus,Sailfin sculpin,Present,Kachemak_Bay,Species,254542,"(Girard, 1858)",Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Nautichthys,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Nautichthys oculofasciatus (Girard, 1858). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254542 on 2024-02-21",2024-02-21,WORMS
Nautichthys pribilovius,Eyeshade sculpin,Present,Kachemak_Bay,Species,254543,"(Jordan & Gilbert, 1898)",Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Nautichthys,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Nautichthys pribilovius (Jordan & Gilbert, 1898). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254543 on 2024-02-21",2024-02-21,WORMS
Oncorhynchus gorbuscha,Pink salmon/Pink/Humpy salmon/Humpy/Humpback,Present,Kachemak_Bay,Species,127182,"(Walbaum, 1792)",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Oncorhynchus gorbuscha (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127182 on 2024-02-21",2024-02-21,WORMS
Oncorhynchus keta,Chum salmon/Chum/Dog salmon/Dog/Calico,Present,Kachemak_Bay,Species,127183,"(Walbaum, 1792)",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Oncorhynchus keta (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127183 on 2024-02-21",2024-02-21,WORMS
Oncorhynchus kisutch,Silver salmon/Coho salmon,Present,Kachemak_Bay,Species,127184,"(Walbaum, 1792)",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Oncorhynchus kisutch (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127184 on 2024-02-21",2024-02-21,WORMS
Oncorhynchus mykiss,Rainbow trout/Steelhead,Present,Kachemak_Bay,Species,127185,"(Walbaum, 1792)",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Oncorhynchus mykiss (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127185 on 2024-02-21",2024-02-21,WORMS
Oncorhynchus nerka,Red salmon/Red/Blueback/Sockeye salmon/Sockeye/Kokanee,Present,Kachemak_Bay,Species,254569,"(Walbaum, 1792)",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Oncorhynchus nerka (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254569 on 2024-02-21",2024-02-21,WORMS
Oncorhynchus tshawytscha,King salmon/King/Blackmouth/Spring/Chinook salmon/Chinook/Quinnat/Tyee/Tule,Present,Kachemak_Bay,Species,158075,"(Walbaum, 1792)",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Oncorhynchus tshawytscha (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158075 on 2024-02-21",2024-02-21,WORMS
Ophiodon elongatus,Lingcod,Present,Kachemak_Bay,Species,240745,"Girard, 1854",Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Ophiodon,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Ophiodon elongatus Girard, 1854. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240745 on 2024-02-21",2024-02-21,WORMS
Pallasina barbata,Tubenose poacher,Present,Kachemak_Bay,Species,254396,"(Steindachner, 1876)",Animalia,Chordata,Teleostei,Perciformes,Agonidae,Pallasina,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Pallasina barbata (Steindachner, 1876). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254396 on 2024-02-21",2024-02-21,WORMS
Pholis laeta,Crescent gunnel,Present,Kachemak_Bay,Species,273689,"(Cope, 1873)",Animalia,Chordata,Teleostei,Perciformes,Pholidae,Pholis,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Pholis laeta (Cope, 1873). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273689 on 2024-02-21",2024-02-21,WORMS
Platichthys stellatus,Starry flounder/Grindstone,Present,Kachemak_Bay,Species,154781,"(Pallas, 1787)",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Platichthys,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Platichthys stellatus (Pallas, 1787). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154781 on 2024-02-21",2024-02-21,WORMS
Pleuronectes quadrituberculatus,Alaska plaice/Lemon sole,Present,Kachemak_Bay,Species,254564,"Pallas, 1814",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Pleuronectes quadrituberculatus Pallas, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254564 on 2024-02-21",2024-02-21,WORMS
