Scientific Name,Common Name,Status(TBD),Locality,rank,valid_AphiaID,valid_authority,kingdom,phylum,class,order,family,genus,citation,Date Taxonomy Updated,source
Crossaster papposus,common sun star; Rose star; Snowflake star,Present,Kachemak_Bay,Species,124154,"(Linnaeus, 1767)",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,"Mah, C.L. (2024). World Asteroidea Database. Crossaster papposus (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=124154 on 2024-02-21",2024-02-21,WORMS
Crucigera irregularis,Red and white tube worm,Present,Kachemak_Bay,Species,337963,"Bush, 1905",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Crucigera,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Crucigera irregularis Bush, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=337963 on 2024-02-21",2024-02-21,WORMS
Crucigera sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptacanthodes aleutensis,Dwarf wrymouth,Present,Kachemak_Bay,Species,276390,"(Gilbert, 1896)",Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Cryptacanthodes aleutensis (Gilbert, 1896). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276390 on 2024-02-21",2024-02-21,WORMS
Cryptacanthodes giganteus,Giant wrymouth,Present,Kachemak_Bay,Species,276392,"(Kittlitz, 1858)",Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Cryptacanthodes giganteus (Kittlitz, 1858). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276392 on 2024-02-21",2024-02-21,WORMS
Cryptobranchia spp.,Blind limpet,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptochiton stelleri,giant Pacific chiton; gumboot chiton,Present,Kachemak_Bay,Species,240776,"(Middendorff, 1847)",Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,"MolluscaBase eds. (2024). MolluscaBase. Cryptochiton stelleri (Middendorff, 1847). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240776 on 2024-02-21",2024-02-21,WORMS
Cryptogramma acrostichoides,American rockbrake,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptogramma sp.,Parsley fern/Mountain parsley/Rock brake fern,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptolithodes stichensis,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptolithodes stitchensis,Umbrella crab,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptolithodes typicus,Butterfly crab/Umbrella crab/Red shield crab,Present,Kachemak_Bay,Species,550617,"Brandt, 1848",Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes,"DecaNet eds. (2024). DecaNet. Cryptolithodes typicus Brandt, 1848. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=550617 on 2024-02-21",2024-02-21,WORMS
Cryptonatica affinis,Arctic moon snail,Present,Kachemak_Bay,Species,140525,"(Gmelin, 1791)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Cryptonatica,"MolluscaBase eds. (2024). MolluscaBase. Cryptonatica affinis (Gmelin, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140525 on 2024-02-21",2024-02-21,WORMS
Cryptonemia borealis,NA,Present,Kachemak_Bay,Species,372556,"Kylin, 1925",Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Cryptonemia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cryptonemia borealis Kylin, 1925. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372556 on 2024-02-21",2024-02-21,WORMS
Cryptonemia obovata,NA,Present,Kachemak_Bay,Species,372557,"J.Agardh, 1876",Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Cryptonemia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cryptonemia obovata J.Agardh, 1876. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372557 on 2024-02-21",2024-02-21,WORMS
Cryptosiphonia woodii,Bleached Brunette,Present,Kachemak_Bay,Species,372563,"(J.Agardh) J.Agardh, 1876",Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Cryptosiphonia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cryptosiphonia woodii (J.Agardh) J.Agardh, 1876. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372563 on 2024-02-21",2024-02-21,WORMS
Cucumaria fallax (pallida?),Football sea cucumber,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cucumaria frondosa ssp. japonica,Gray subtidal sea cucumber,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cucumaria miniata,orange sea cucumber,Present,Kachemak_Bay,Species,225807,"(Brandt, 1835)",Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,"WoRMS (2024). Cucumaria miniata (Brandt, 1835). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=225807 on 2024-02-21",2024-02-21,WORMS
Cucumaria piperata,peppered sea cucumber,Present,Kachemak_Bay,Species,529459,"(Stimpson, 1864)",Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,"WoRMS (2024). Cucumaria piperata (Stimpson, 1864). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=529459 on 2024-02-21",2024-02-21,WORMS
Cucumaria pseudocurata,Tar spot sea cucumber,Present,Kachemak_Bay,Species,528844,"Deichmann, 1938",Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,"WoRMS (2024). Cucumaria pseudocurata Deichmann, 1938. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=528844 on 2024-02-21",2024-02-21,WORMS
Cucumaria vegae,Vega sea cucumber,Present,Kachemak_Bay,Species,241810,"Théel, 1886",Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,"WoRMS (2024). Cucumaria vegae Théel, 1886. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=241810 on 2024-02-21",2024-02-21,WORMS
Cumathamnion decipiens,NA,Present,Kachemak_Bay,Species,708086,"(J.Agardh) M.J.Wynne & G.W.Saunders, 2012",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cumathamnion,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cumathamnion decipiens (J.Agardh) M.J.Wynne & G.W.Saunders, 2012. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=708086 on 2024-02-21",2024-02-21,WORMS
Curlew Numenius tahitiensis,Bristle-thighed,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuthona sp.,Brown aeolis,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanea capillata,giant jellyfish; hairy stinger; lion’s mane; lion’s mane jellyfish; Lion's mane jellyfish; lion's mane yellyfish; pink jellyfish; sea blubber; sea nettle,Present,Kachemak_Bay,Species,135301,"(Linnaeus, 1758)",Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,"Collins, A.G.; Morandini, A.C. (2024). World List of Scyphozoa. Cyanea capillata (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135301 on 2024-02-21",2024-02-21,WORMS
Cyanocitta stelleri,Steller’s Jay,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclopteridae sp.,Unidentified lumpsucker,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cydonium mulleri,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cygnus buccinator,Trumpeter Swan,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cygnus columbianus,Tundra Swan,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylichna sp.,Barrel bubble snail,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymathaere triplicata,NA,Present,Kachemak_Bay,Species,373978,"(Postels & Ruprecht) J.Agardh, 1868",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Cymathaere,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cymathaere triplicata (Postels & Ruprecht) J.Agardh, 1868. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=373978 on 2024-02-21",2024-02-21,WORMS
Cymathere triplicata,Three-ribbon Kelp,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymethere triplicata,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypripedium guttatum,Lady's slipper orchid/Spotted lady's slipper,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystopteris fragilis,Fragile fern/Brittle bladder fern,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystopteris montana,Mountain bladder fern,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cytoseira geminata,Chain Bladder,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylorhiza aristata,Keyflower,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylosiphon bullosus,NA,Present,Kachemak_Bay,Species,1474998,"(D.A.Saunders) Santiañez, K.M.Lee, S.M.Boo & Kogame in Santiañez & al., 2018",Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Dactylosiphon,"WoRMS (2024). Dactylosiphon bullosus (D.A.Saunders) Santiañez, K.M.Lee, S.M.Boo & Kogame in Santiañez & al., 2018. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1474998 on 2024-02-21",2024-02-21,WORMS
Danthonia intermedia,Timber oat grass/Downy oat grass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasiphora floribunda,Tundra rose/Shrubby cinquefoil,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasycottus setiger,Spinyhead sculpin,Present,Kachemak_Bay,Species,280488,"Bean, 1890",Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Dasycottus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Dasycottus setiger Bean, 1890. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=280488 on 2024-02-21",2024-02-21,WORMS
Delesseria decipens,Winged Rib,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delphinapterus leucas,Beluga/White Whale,Present,Kachemak_Bay,Species,137115,"(Pallas, 1776)",Animalia,Chordata,Mammalia,Cetartiodactyla,Monodontidae,Delphinapterus,"Fordyce, E.; Perrin, W.F. (2024). World Cetacea Database. Delphinapterus leucas (Pallas, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137115 on 2024-02-21",2024-02-21,WORMS
Delphinium glaucum,Tall larkspur/Glaucous larkspur/Sierra larkspur,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendragapus canadensis,Spruce Grouse,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendranthema arcticum ssp. arcticum,Arctic daisy,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrobeania murrayana,Algae-like bryozoan,Present,Kachemak_Bay,Species,111174,"(Bean in Johnston, 1847)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Dendrobeania,"Bock, P. (2024). World List of Bryozoa. Dendrobeania murrayana (Bean in Johnston, 1847). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=111174 on 2024-02-21",2024-02-21,WORMS
Dendroica coronata,Yellow-rumped (Myrtle) Warbler,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica petechia,Yellow Warbler,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica straita,Blackpoll Warbler,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica townsendi,Townsend’s Warbler,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendronotus dalli,Dall's dendronotis,Present,Kachemak_Bay,Species,156709,"Bergh, 1879",Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,"MolluscaBase eds. (2024). MolluscaBase. Dendronotus dalli Bergh, 1879. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=156709 on 2024-02-21",2024-02-21,WORMS
Dendronotus frondosus,Bushy-backed nudibranch,Present,Kachemak_Bay,Species,139523,"(Ascanius, 1774)",Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,"MolluscaBase eds. (2024). MolluscaBase. Dendronotus frondosus (Ascanius, 1774). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=139523 on 2024-02-21",2024-02-21,WORMS
Dendronotus rufus,Red dendronotis,Present,Kachemak_Bay,Species,548243,"O'Donoghue, 1921",Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,"MolluscaBase eds. (2024). MolluscaBase. Dendronotus rufus O'Donoghue, 1921. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=548243 on 2024-02-21",2024-02-21,WORMS
Dendrontus dalli,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrontus frondosus,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derbesia marina,Green Sea Felt,Present,Kachemak_Bay,Species,144462,"(Lyngbye) Solier, 1846",Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Derbesiaceae,Derbesia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Derbesia marina (Lyngbye) Solier, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144462 on 2024-02-21",2024-02-21,WORMS
Dermasterias imbricata,Leather star,Present,Kachemak_Bay,Species,240771,"(Grube, 1857)",Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,"Mah, C.L. (2024). World Asteroidea Database. Dermasterias imbricata (Grube, 1857). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240771 on 2024-02-21",2024-02-21,WORMS
Deschampsia beringensis,Bering's tufted hairgrass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deschampsia cespitosa,Tufted hairgrass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deschampsia sp.,Hairgrass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmarestia aculeata,NA,Present,Kachemak_Bay,Species,145307,"(Linnaeus) J.V.Lamouroux, 1813",Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Desmarestia aculeata (Linnaeus) J.V.Lamouroux, 1813. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145307 on 2024-02-21",2024-02-21,WORMS
Desmarestia aculeate,Witch’s Hair,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmarestia ligulata,Flattened Acid Kelp,Present,Kachemak_Bay,Species,145309,"(Stackhouse) J.V.Lamouroux, 1813",Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Desmarestia ligulata (Stackhouse) J.V.Lamouroux, 1813. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145309 on 2024-02-21",2024-02-21,WORMS
Desmarestia viridis,Stringy Acid Kelp,Present,Kachemak_Bay,Species,145310,"(O.F.Müller) J.V.Lamouroux, 1813",Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Desmarestia viridis (O.F.Müller) J.V.Lamouroux, 1813. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145310 on 2024-02-21",2024-02-21,WORMS
Devaleraea aff. Yendoi,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devaleraea compressa,NA,Present,Kachemak_Bay,Species,373915,"(Ruprecht) Selivanova & Klochkova, 1989",Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Devaleraea,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Devaleraea compressa (Ruprecht) Selivanova & Klochkova, 1989. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=373915 on 2024-02-21",2024-02-21,WORMS
Devaleraea ramentacea,NA,Present,Kachemak_Bay,Species,145770,"(Linnaeus) Guiry, 1982",Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Devaleraea,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Devaleraea ramentacea (Linnaeus) Guiry, 1982. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145770 on 2024-02-21",2024-02-21,WORMS
Diadumene sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianthus repens,Wild carnation/Boreal carnation,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diapensia lapponica,Lapland diapensia/Pincushion plant,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diaulota densissima,Narrow rove beetle,Present,Kachemak_Bay,Species,494645,"Casey, 1894",Animalia,Arthropoda,Hexapoda,Coleoptera,Staphylinidae,Diaulota,"WoRMS (2024). Diaulota densissima Casey, 1894. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=494645 on 2024-02-21",2024-02-21,WORMS
Diaulula,NA,Present,Kachemak_Bay,Genus,415291,"Bergh, 1878",Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula,"MolluscaBase eds. (2024). MolluscaBase. Diaulula Bergh, 1878. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=415291 on 2024-02-21",2024-02-21,WORMS
Diaulula sandiegensis,Spotted nudibranch,Present,Kachemak_Bay,Species,536817,"(J. G. Cooper, 1863)",Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula,"MolluscaBase eds. (2024). MolluscaBase. Diaulula sandiegensis (J. G. Cooper, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=536817 on 2024-02-21",2024-02-21,WORMS
Dictyosiphon foenicuiaceus,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyosiphon foeniculaceus,Filamentous Brown Alga/Golden Sea Hair,Present,Kachemak_Bay,Species,145322,"(Hudson) Greville, 1830",Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Dictyosiphon,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dictyosiphon foeniculaceus (Hudson) Greville, 1830. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145322 on 2024-02-21",2024-02-21,WORMS
Didemnum vexillum,Didemnum tunicate,Potential+Invasive,Kachemak_Bay,Species,250126,"Kott, 2002",Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Didemnum vexillum Kott, 2002. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250126 on 2024-02-21",2024-02-21,WORMS
Diestothyris frontalis,NA,Present,Kachemak_Bay,Species,235620,"(Middendorff, 1849)",Animalia,Brachiopoda,Rhynchonellata,Terebratulida,Terebrataliidae,Diestothyris,"Verhoeff, T. (2024). World Brachiopoda Database. Diestothyris frontalis (Middendorff, 1849). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=235620 on 2024-02-21",2024-02-21,WORMS
Diestothyris frontalis (?),NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dilesia califomica,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dilsea californica,California Red Blade,Present,Kachemak_Bay,Species,372565,"(J.Agardh) Kuntze, 1891",Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dilsea,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dilsea californica (J.Agardh) Kuntze, 1891. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372565 on 2024-02-21",2024-02-21,WORMS
Diodora,NA,Present,Kachemak_Bay,Genus,138011,"J. E. Gray, 1821",Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,"MolluscaBase eds. (2024). MolluscaBase. Diodora J. E. Gray, 1821. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138011 on 2024-02-21",2024-02-21,WORMS
Diodora aspera,rough keyhole limpet,Present,Kachemak_Bay,Species,367955,"(Rathke, 1833)",Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,"MolluscaBase eds. (2024). MolluscaBase. Diodora aspera (Rathke, 1833). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=367955 on 2024-02-21",2024-02-21,WORMS
Diplodonta spp,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirona albolineata,White-lined dirona,Present,Kachemak_Bay,Species,581837,"MacFarland, 1905",Animalia,Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona,"MolluscaBase eds. (2024). MolluscaBase. Dirona albolineata MacFarland, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=581837 on 2024-02-21",2024-02-21,WORMS
Discorsopagurus schmitti,Tube worm hermit crab,Present,Kachemak_Bay,Species,366310,"(Stevens, 1925)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Discorsopagurus,"DecaNet eds. (2024). DecaNet. Discorsopagurus schmitti (Stevens, 1925). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366310 on 2024-02-21",2024-02-21,WORMS
Distaplia alaskensis,Colonial harbor tunicate,Present,Kachemak_Bay,Species,250424,"Lambert & Sanamyan, 2001",Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Distaplia alaskensis Lambert & Sanamyan, 2001. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250424 on 2024-02-21",2024-02-21,WORMS
Distaplia occidentalis,Western distaplia,Present,Kachemak_Bay,Species,250152,"Bancroft, 1899",Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Distaplia,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Distaplia occidentalis Bancroft, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250152 on 2024-02-21",2024-02-21,WORMS
Dodecatheon pulchellum,Few-flowered shooting star/Pretty shooting star/Darkthroat shooting star,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dodecatheon sp.,Shooting star,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Douglasia alaskana,Alaska androsace/Alaska douglasia,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draba alpina,Alpine draba,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draba aurea,Golden draba,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
